1,1.5,0
1.1,1.5,0
1.2,1.5,0
1.3,1.5,0
1.4,1.5,0
1.5,1.5,0
1.6,1.5,0
1.7,1.5,0
1.8,1.5,0
1.9,1.5,0
2,1.5,0
2.1,1.5,0
2.2,1.5,0
2.3,1.5,0
2.4,1.5,0
2.5,1.5,0
2.6,1.5,0
2.7,1.5,0
2.8,1.5,0
2.9,1.5,0
3,1.5,0
3.1,1.5,0
3.2,1.5,0
3.3,1.5,0
3.4,1.5,0
3.5,1.5,0
3.6,1.5,0
3.7,1.5,0
3.8,1.5,0
3.9,1.5,0
4,1.5,0
4.1,1.5,0
4.2,1.5,0
4.3,1.5,0
4.4,1.5,0
4.5,1.5,0
4.6,1.5,0
4.7,1.5,0
4.8,1.5,0
4.9,1.5,0
5,1.5,0
5.5,1.5,0
6,1.5,0
6.5,1.5,0
7,1.5,0
7.5,1.5,0
8,1.5,0
8.5,1.5,0
9,1.5,0
9.5,1.5,0
10,1.5,0
10.5,1.5,0
11,1.5,0
11.5,1.5,0
12,1.5,0
12.5,1.5,0
13,1.5,0
13.5,1.5,0
14,1.5,0
14.5,1.5,0
15,1.5,0
15.5,1.5,0
16,1.5,0
16.5,1.5,0
17,1.5,0
17.5,1.5,0
18,1.5,0
18.5,1.5,0
19,1.5,0
19.5,1.5,0
20,1.5,0
20.5,1.5,0
21,1.5,0
21.5,1.5,0
22,1.5,0
22.5,1.5,0
23,1.5,0
23.5,1.5,0
24,1.5,0
24.5,1.5,0
25,1.5,0
25.5,1.5,0
26,1.5,0
26.5,1.5,0
27,1.5,0
27.5,1.5,0
28,1.5,0
28.5,1.5,0
29,1.5,0
29.5,1.5,0
30,1.5,0
